residence,country,year,estimate_now,ci.low_now,ci.high_now,estimate_chronic,ci.low_chronic,ci.high_chronic,unweighted_n
Urban,za,2016,26.1,24.1,28,17.3,15.5,19.1,5685
Non-urban,za,2016,30.4,27.6,33.3,20.4,18.4,22.5,4651
