employment,country,year,estimate_now,ci.low_now,ci.high_now,estimate_chronic,ci.low_chronic,ci.high_chronic,unweighted_n
No,za,2016,27.4,25.6,29.3,18.8,17.2,20.6,6349
Yes,za,2016,27.6,25.3,30.1,17.5,15.8,19.4,3987
