sex,country,year,estimate_now,ci.low_now,ci.high_now,estimate_chronic,ci.low_chronic,ci.high_chronic,unweighted_n
Male,za,2016,25.5,23.4,27.8,15.8,13.9,17.8,4210
Female,za,2016,28.8,26.8,31,20.1,18.4,21.8,6126
